Field Name,Type,Parent,API
"balance","BigDecimal","PoolToken","balancerAvalanche"
"paidProtocolFees","BigDecimal","PoolToken","balancerAvalanche"
"cashBalance","BigDecimal","PoolToken","balancerAvalanche"
"managedBalance","BigDecimal","PoolToken","balancerAvalanche"
"managements","Unknown","PoolToken","balancerAvalanche"
"weight","BigDecimal","PoolToken","balancerAvalanche"
"isExemptFromYieldProtocolFee","Boolean","PoolToken","balancerAvalanche"
"circuitBreaker","CircuitBreaker","PoolToken","balancerAvalanche"
"id","ID","PriceRateProvider","balancerAvalanche"
"poolId","Pool","PriceRateProvider","balancerAvalanche"
"token","PoolToken","PriceRateProvider","balancerAvalanche"
"address","Bytes","PriceRateProvider","balancerAvalanche"
"rate","BigDecimal","PriceRateProvider","balancerAvalanche"
"lastCached","Int","PriceRateProvider","balancerAvalanche"
"cacheDuration","Int","PriceRateProvider","balancerAvalanche"
"cacheExpiry","Int","PriceRateProvider","balancerAvalanche"
"id","ID","ProtocolIdData","balancerAvalanche"
"name","String","ProtocolIdData","balancerAvalanche"
"balancer","Balancer","Query","balancerAvalanche"
"balancers","Unknown","Query","balancerAvalanche"
"pool","Pool","Query","balancerAvalanche"
"pools","Unknown","Query","balancerAvalanche"
"poolContract","PoolContract","Query","balancerAvalanche"
"poolContracts","Unknown","Query","balancerAvalanche"
"poolToken","PoolToken","Query","balancerAvalanche"
"poolTokens","Unknown","Query","balancerAvalanche"
"priceRateProvider","PriceRateProvider","Query","balancerAvalanche"
"priceRateProviders","Unknown","Query","balancerAvalanche"
"circuitBreaker","CircuitBreaker","Query","balancerAvalanche"
"circuitBreakers","Unknown","Query","balancerAvalanche"
"poolShare","PoolShare","Query","balancerAvalanche"
"poolShares","Unknown","Query","balancerAvalanche"
"user","User","Query","balancerAvalanche"
"users","Unknown","Query","balancerAvalanche"
"userInternalBalance","UserInternalBalance","Query","balancerAvalanche"
"userInternalBalances","Unknown","Query","balancerAvalanche"
"gradualWeightUpdate","GradualWeightUpdate","Query","balancerAvalanche"
"gradualWeightUpdates","Unknown","Query","balancerAvalanche"
"ampUpdate","AmpUpdate","Query","balancerAvalanche"
"ampUpdates","Unknown","Query","balancerAvalanche"
"swapFeeUpdate","SwapFeeUpdate","Query","balancerAvalanche"
"swapFeeUpdates","Unknown","Query","balancerAvalanche"
"swap","Swap","Query","balancerAvalanche"
"swaps","Unknown","Query","balancerAvalanche"
"joinExit","JoinExit","Query","balancerAvalanche"
"joinExits","Unknown","Query","balancerAvalanche"
"latestPrice","LatestPrice","Query","balancerAvalanche"
"latestPrices","Unknown","Query","balancerAvalanche"
"poolHistoricalLiquidity","PoolHistoricalLiquidity","Query","balancerAvalanche"
"poolHistoricalLiquidities","Unknown","Query","balancerAvalanche"
"tokenPrice","TokenPrice","Query","balancerAvalanche"
"tokenPrices","Unknown","Query","balancerAvalanche"
"managementOperation","ManagementOperation","Query","balancerAvalanche"
"managementOperations","Unknown","Query","balancerAvalanche"
"poolSnapshot","PoolSnapshot","Query","balancerAvalanche"
"poolSnapshots","Unknown","Query","balancerAvalanche"
"token","Token","Query","balancerAvalanche"
"tokens","Unknown","Query","balancerAvalanche"
"tokenSnapshot","TokenSnapshot","Query","balancerAvalanche"
"tokenSnapshots","Unknown","Query","balancerAvalanche"
"tradePair","TradePair","Query","balancerAvalanche"
"tradePairs","Unknown","Query","balancerAvalanche"
"tradePairSnapshot","TradePairSnapshot","Query","balancerAvalanche"
"tradePairSnapshots","Unknown","Query","balancerAvalanche"
"balancerSnapshot","BalancerSnapshot","Query","balancerAvalanche"
"balancerSnapshots","Unknown","Query","balancerAvalanche"
"protocolIdData","ProtocolIdData","Query","balancerAvalanche"
"protocolIdDatas","Unknown","Query","balancerAvalanche"
"fxoracle","FXOracle","Query","balancerAvalanche"
"fxoracles","Unknown","Query","balancerAvalanche"
"_meta","_Meta_","Query","balancerAvalanche"
"balancer","Balancer","Subscription","balancerAvalanche"
"balancers","Unknown","Subscription","balancerAvalanche"
"pool","Pool","Subscription","balancerAvalanche"
"pools","Unknown","Subscription","balancerAvalanche"
"poolContract","PoolContract","Subscription","balancerAvalanche"
"poolContracts","Unknown","Subscription","balancerAvalanche"
"poolToken","PoolToken","Subscription","balancerAvalanche"
"poolTokens","Unknown","Subscription","balancerAvalanche"
"priceRateProvider","PriceRateProvider","Subscription","balancerAvalanche"
"priceRateProviders","Unknown","Subscription","balancerAvalanche"
"circuitBreaker","CircuitBreaker","Subscription","balancerAvalanche"
"circuitBreakers","Unknown","Subscription","balancerAvalanche"
"poolShare","PoolShare","Subscription","balancerAvalanche"
"poolShares","Unknown","Subscription","balancerAvalanche"
"user","User","Subscription","balancerAvalanche"
"users","Unknown","Subscription","balancerAvalanche"
"userInternalBalance","UserInternalBalance","Subscription","balancerAvalanche"
"userInternalBalances","Unknown","Subscription","balancerAvalanche"
"gradualWeightUpdate","GradualWeightUpdate","Subscription","balancerAvalanche"
"gradualWeightUpdates","Unknown","Subscription","balancerAvalanche"
"ampUpdate","AmpUpdate","Subscription","balancerAvalanche"
"ampUpdates","Unknown","Subscription","balancerAvalanche"
"swapFeeUpdate","SwapFeeUpdate","Subscription","balancerAvalanche"
"swapFeeUpdates","Unknown","Subscription","balancerAvalanche"
"swap","Swap","Subscription","balancerAvalanche"
"swaps","Unknown","Subscription","balancerAvalanche"
"joinExit","JoinExit","Subscription","balancerAvalanche"
"joinExits","Unknown","Subscription","balancerAvalanche"
"latestPrice","LatestPrice","Subscription","balancerAvalanche"
"latestPrices","Unknown","Subscription","balancerAvalanche"
"poolHistoricalLiquidity","PoolHistoricalLiquidity","Subscription","balancerAvalanche"
"poolHistoricalLiquidities","Unknown","Subscription","balancerAvalanche"
"tokenPrice","TokenPrice","Subscription","balancerAvalanche"
"tokenPrices","Unknown","Subscription","balancerAvalanche"
"managementOperation","ManagementOperation","Subscription","balancerAvalanche"
"managementOperations","Unknown","Subscription","balancerAvalanche"
"poolSnapshot","PoolSnapshot","Subscription","balancerAvalanche"
"poolSnapshots","Unknown","Subscription","balancerAvalanche"
"token","Token","Subscription","balancerAvalanche"
"tokens","Unknown","Subscription","balancerAvalanche"
"tokenSnapshot","TokenSnapshot","Subscription","balancerAvalanche"
"tokenSnapshots","Unknown","Subscription","balancerAvalanche"
"tradePair","TradePair","Subscription","balancerAvalanche"
"tradePairs","Unknown","Subscription","balancerAvalanche"
"tradePairSnapshot","TradePairSnapshot","Subscription","balancerAvalanche"
"tradePairSnapshots","Unknown","Subscription","balancerAvalanche"
"balancerSnapshot","BalancerSnapshot","Subscription","balancerAvalanche"
"balancerSnapshots","Unknown","Subscription","balancerAvalanche"
"protocolIdData","ProtocolIdData","Subscription","balancerAvalanche"
"protocolIdDatas","Unknown","Subscription","balancerAvalanche"
"fxoracle","FXOracle","Subscription","balancerAvalanche"
"fxoracles","Unknown","Subscription","balancerAvalanche"
"_meta","_Meta_","Subscription","balancerAvalanche"
"id","ID","Swap","balancerAvalanche"
"caller","Bytes","Swap","balancerAvalanche"
"tokenIn","Bytes","Swap","balancerAvalanche"
"tokenInSym","String","Swap","balancerAvalanche"
"tokenOut","Bytes","Swap","balancerAvalanche"
"tokenOutSym","String","Swap","balancerAvalanche"
"tokenAmountIn","BigDecimal","Swap","balancerAvalanche"
"tokenAmountOut","BigDecimal","Swap","balancerAvalanche"
"valueUSD","BigDecimal","Swap","balancerAvalanche"
"poolId","Pool","Swap","balancerAvalanche"
"userAddress","User","Swap","balancerAvalanche"
"timestamp","Int","Swap","balancerAvalanche"
"block","BigInt","Swap","balancerAvalanche"
"tx","Bytes","Swap","balancerAvalanche"
"id","ID","SwapFeeUpdate","balancerAvalanche"
"pool","Pool","SwapFeeUpdate","balancerAvalanche"
"scheduledTimestamp","Int","SwapFeeUpdate","balancerAvalanche"
"startTimestamp","BigInt","SwapFeeUpdate","balancerAvalanche"
"endTimestamp","BigInt","SwapFeeUpdate","balancerAvalanche"
"startSwapFeePercentage","BigDecimal","SwapFeeUpdate","balancerAvalanche"
"endSwapFeePercentage","BigDecimal","SwapFeeUpdate","balancerAvalanche"
"id","ID","Token","balancerAvalanche"
"symbol","String","Token","balancerAvalanche"
"name","String","Token","balancerAvalanche"
"decimals","Int","Token","balancerAvalanche"
"address","String","Token","balancerAvalanche"
"totalBalanceUSD","BigDecimal","Token","balancerAvalanche"
"totalBalanceNotional","BigDecimal","Token","balancerAvalanche"
"totalVolumeUSD","BigDecimal","Token","balancerAvalanche"
"totalVolumeNotional","BigDecimal","Token","balancerAvalanche"
"totalSwapCount","BigInt","Token","balancerAvalanche"
"latestPrice","LatestPrice","Token","balancerAvalanche"
"latestUSDPrice","BigDecimal","Token","balancerAvalanche"
"latestUSDPriceTimestamp","BigInt","Token","balancerAvalanche"
"latestFXPrice","BigDecimal","Token","balancerAvalanche"
"pool","Pool","Token","balancerAvalanche"
"fxOracleDecimals","Int","Token","balancerAvalanche"
"id","ID","TokenPrice","balancerAvalanche"
"poolId","Pool","TokenPrice","balancerAvalanche"
"asset","Bytes","TokenPrice","balancerAvalanche"
"amount","BigDecimal","TokenPrice","balancerAvalanche"
"pricingAsset","Bytes","TokenPrice","balancerAvalanche"
"price","BigDecimal","TokenPrice","balancerAvalanche"
"block","BigInt","TokenPrice","balancerAvalanche"
"timestamp","Int","TokenPrice","balancerAvalanche"
"id","ID","TokenSnapshot","balancerAvalanche"
"token","Token","TokenSnapshot","balancerAvalanche"
"timestamp","Int","TokenSnapshot","balancerAvalanche"
"totalBalanceUSD","BigDecimal","TokenSnapshot","balancerAvalanche"
"totalBalanceNotional","BigDecimal","TokenSnapshot","balancerAvalanche"
"totalVolumeUSD","BigDecimal","TokenSnapshot","balancerAvalanche"
"totalVolumeNotional","BigDecimal","TokenSnapshot","balancerAvalanche"
"totalSwapCount","BigInt","TokenSnapshot","balancerAvalanche"
"id","ID","TradePair","balancerAvalanche"
"token0","Token","TradePair","balancerAvalanche"
"token1","Token","TradePair","balancerAvalanche"
"totalSwapVolume","BigDecimal","TradePair","balancerAvalanche"
"totalSwapFee","BigDecimal","TradePair","balancerAvalanche"
"id","ID","TradePairSnapshot","balancerAvalanche"
"pair","TradePair","TradePairSnapshot","balancerAvalanche"
"timestamp","Int","TradePairSnapshot","balancerAvalanche"
"totalSwapVolume","BigDecimal","TradePairSnapshot","balancerAvalanche"
"totalSwapFee","BigDecimal","TradePairSnapshot","balancerAvalanche"
"id","ID","User","balancerAvalanche"
"sharesOwned","Unknown","User","balancerAvalanche"
"swaps","Unknown","User","balancerAvalanche"
"userInternalBalances","Unknown","User","balancerAvalanche"
"id","ID","UserInternalBalance","balancerAvalanche"
"userAddress","User","UserInternalBalance","balancerAvalanche"
"token","Bytes","UserInternalBalance","balancerAvalanche"
"tokenInfo","Token","UserInternalBalance","balancerAvalanche"
"balance","BigDecimal","UserInternalBalance","balancerAvalanche"
"hash","Bytes","_Block_","balancerAvalanche"
"number","Int","_Block_","balancerAvalanche"
"timestamp","Int","_Block_","balancerAvalanche"
"parentHash","Bytes","_Block_","balancerAvalanche"
"block","_Block_","_Meta_","balancerAvalanche"
"deployment","String","_Meta_","balancerAvalanche"
"hasIndexingErrors","Boolean","_Meta_","balancerAvalanche"
