Field Name,Type,Parent,API
"ticks","Unknown","Query","uniswap"
"position","Position","Query","uniswap"
"positions","Unknown","Query","uniswap"
"positionSnapshot","PositionSnapshot","Query","uniswap"
"positionSnapshots","Unknown","Query","uniswap"
"transaction","Transaction","Query","uniswap"
"transactions","Unknown","Query","uniswap"
"mint","Mint","Query","uniswap"
"mints","Unknown","Query","uniswap"
"burn","Burn","Query","uniswap"
"burns","Unknown","Query","uniswap"
"swap","Swap","Query","uniswap"
"swaps","Unknown","Query","uniswap"
"collect","Collect","Query","uniswap"
"collects","Unknown","Query","uniswap"
"flash","Flash","Query","uniswap"
"flashes","Unknown","Query","uniswap"
"uniswapDayData","UniswapDayData","Query","uniswap"
"uniswapDayDatas","Unknown","Query","uniswap"
"poolDayData","PoolDayData","Query","uniswap"
"poolDayDatas","Unknown","Query","uniswap"
"poolHourData","PoolHourData","Query","uniswap"
"poolHourDatas","Unknown","Query","uniswap"
"tickHourData","TickHourData","Query","uniswap"
"tickHourDatas","Unknown","Query","uniswap"
"tickDayData","TickDayData","Query","uniswap"
"tickDayDatas","Unknown","Query","uniswap"
"tokenDayData","TokenDayData","Query","uniswap"
"tokenDayDatas","Unknown","Query","uniswap"
"tokenHourData","TokenHourData","Query","uniswap"
"tokenHourDatas","Unknown","Query","uniswap"
"_meta","_Meta_","Query","uniswap"
"factory","Factory","Subscription","uniswap"
"factories","Unknown","Subscription","uniswap"
"bundle","Bundle","Subscription","uniswap"
"bundles","Unknown","Subscription","uniswap"
"token","Token","Subscription","uniswap"
"tokens","Unknown","Subscription","uniswap"
"pool","Pool","Subscription","uniswap"
"pools","Unknown","Subscription","uniswap"
"tick","Tick","Subscription","uniswap"
"ticks","Unknown","Subscription","uniswap"
"position","Position","Subscription","uniswap"
"positions","Unknown","Subscription","uniswap"
"positionSnapshot","PositionSnapshot","Subscription","uniswap"
"positionSnapshots","Unknown","Subscription","uniswap"
"transaction","Transaction","Subscription","uniswap"
"transactions","Unknown","Subscription","uniswap"
"mint","Mint","Subscription","uniswap"
"mints","Unknown","Subscription","uniswap"
"burn","Burn","Subscription","uniswap"
"burns","Unknown","Subscription","uniswap"
"swap","Swap","Subscription","uniswap"
"swaps","Unknown","Subscription","uniswap"
"collect","Collect","Subscription","uniswap"
"collects","Unknown","Subscription","uniswap"
"flash","Flash","Subscription","uniswap"
"flashes","Unknown","Subscription","uniswap"
"uniswapDayData","UniswapDayData","Subscription","uniswap"
"uniswapDayDatas","Unknown","Subscription","uniswap"
"poolDayData","PoolDayData","Subscription","uniswap"
"poolDayDatas","Unknown","Subscription","uniswap"
"poolHourData","PoolHourData","Subscription","uniswap"
"poolHourDatas","Unknown","Subscription","uniswap"
"tickHourData","TickHourData","Subscription","uniswap"
"tickHourDatas","Unknown","Subscription","uniswap"
"tickDayData","TickDayData","Subscription","uniswap"
"tickDayDatas","Unknown","Subscription","uniswap"
"tokenDayData","TokenDayData","Subscription","uniswap"
"tokenDayDatas","Unknown","Subscription","uniswap"
"tokenHourData","TokenHourData","Subscription","uniswap"
"tokenHourDatas","Unknown","Subscription","uniswap"
"_meta","_Meta_","Subscription","uniswap"
"id","ID","Swap","uniswap"
"transaction","Transaction","Swap","uniswap"
