Field Name,Type,Parent,Depth,API,Description
"totalValueLockedUSDUntracked","BigDecimal","null","0","quickswap",""
"derivedMatic","BigDecimal","null","0","quickswap",""
"whitelistPools","Unknown","null","0","quickswap",""
"tokenDayData","Unknown","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"date","Int","null","0","quickswap",""
"token","Token","null","0","quickswap",""
"volume","BigDecimal","null","0","quickswap",""
"volumeUSD","BigDecimal","null","0","quickswap",""
"untrackedVolumeUSD","BigDecimal","null","0","quickswap",""
"totalValueLocked","BigDecimal","null","0","quickswap",""
"totalValueLockedUSD","BigDecimal","null","0","quickswap",""
"priceUSD","BigDecimal","null","0","quickswap",""
"feesUSD","BigDecimal","null","0","quickswap",""
"open","BigDecimal","null","0","quickswap",""
"high","BigDecimal","null","0","quickswap",""
"low","BigDecimal","null","0","quickswap",""
"close","BigDecimal","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"periodStartUnix","Int","null","0","quickswap",""
"token","Token","null","0","quickswap",""
"volume","BigDecimal","null","0","quickswap",""
"volumeUSD","BigDecimal","null","0","quickswap",""
"untrackedVolumeUSD","BigDecimal","null","0","quickswap",""
"totalValueLocked","BigDecimal","null","0","quickswap",""
"totalValueLockedUSD","BigDecimal","null","0","quickswap",""
"priceUSD","BigDecimal","null","0","quickswap",""
"feesUSD","BigDecimal","null","0","quickswap",""
"open","BigDecimal","null","0","quickswap",""
"high","BigDecimal","null","0","quickswap",""
"low","BigDecimal","null","0","quickswap",""
"close","BigDecimal","null","0","quickswap",""
"id","ID","null","0","quickswap",""
"blockNumber","BigInt","null","0","quickswap",""
"timestamp","BigInt","null","0","quickswap",""
"gasLimit","BigInt","null","0","quickswap",""
"gasPrice","BigInt","null","0","quickswap",""
"mints","Unknown","null","0","quickswap",""
"burns","Unknown","null","0","quickswap",""
"swaps","Unknown","null","0","quickswap",""
"flashed","Unknown","null","0","quickswap",""
"collects","Unknown","null","0","quickswap",""
"hash","Bytes","null","0","quickswap",""
"number","Int","null","0","quickswap",""
"timestamp","Int","null","0","quickswap",""
"parentHash","Bytes","null","0","quickswap",""
"block","_Block_","null","0","quickswap",""
"deployment","String","null","0","quickswap",""
"hasIndexingErrors","Boolean","null","0","quickswap",""
