Field Name,Type,Parent,Depth,API,Description
"liquidityPoolDailySnapshot","LiquidityPoolDailySnapshot","null","0","sushiswap",""
"liquidityPoolDailySnapshots","Unknown","null","0","sushiswap",""
"liquidityPoolHourlySnapshot","LiquidityPoolHourlySnapshot","null","0","sushiswap",""
"liquidityPoolHourlySnapshots","Unknown","null","0","sushiswap",""
"tick","Tick","null","0","sushiswap",""
"ticks","Unknown","null","0","sushiswap",""
"tickDailySnapshot","TickDailySnapshot","null","0","sushiswap",""
"tickDailySnapshots","Unknown","null","0","sushiswap",""
"tickHourlySnapshot","TickHourlySnapshot","null","0","sushiswap",""
"tickHourlySnapshots","Unknown","null","0","sushiswap",""
"account","Account","null","0","sushiswap",""
"accounts","Unknown","null","0","sushiswap",""
"position","Position","null","0","sushiswap",""
"positions","Unknown","null","0","sushiswap",""
"positionSnapshot","PositionSnapshot","null","0","sushiswap",""
"positionSnapshots","Unknown","null","0","sushiswap",""
"deposit","Deposit","null","0","sushiswap",""
"deposits","Unknown","null","0","sushiswap",""
"withdraw","Withdraw","null","0","sushiswap",""
"withdraws","Unknown","null","0","sushiswap",""
"swap","Swap","null","0","sushiswap",""
"swaps","Unknown","null","0","sushiswap",""
"activeAccount","ActiveAccount","null","0","sushiswap",""
"activeAccounts","Unknown","null","0","sushiswap",""
"liquidityPoolAmount","_LiquidityPoolAmount","null","0","sushiswap",""
"liquidityPoolAmounts","Unknown","null","0","sushiswap",""
"helperStore","_HelperStore","null","0","sushiswap",""
"helperStores","Unknown","null","0","sushiswap",""
"tokenWhitelist","_TokenWhitelist","null","0","sushiswap",""
"tokenWhitelists","Unknown","null","0","sushiswap",""
"tokenWhitelistSymbol","_TokenWhitelistSymbol","null","0","sushiswap",""
"tokenWhitelistSymbols","Unknown","null","0","sushiswap",""
"protocol","Protocol","null","0","sushiswap",""
"protocols","Unknown","null","0","sushiswap",""
"_meta","_Meta_","null","0","sushiswap",""
"id","Bytes","null","0","sushiswap",""
"token","Token","null","0","sushiswap",""
"type","RewardTokenType","null","0","sushiswap",""
"token","Token","null","0","sushiswap",""
"tokens","Unknown","null","0","sushiswap",""
"rewardToken","RewardToken","null","0","sushiswap",""
"rewardTokens","Unknown","null","0","sushiswap",""
"liquidityPoolFee","LiquidityPoolFee","null","0","sushiswap",""
"liquidityPoolFees","Unknown","null","0","sushiswap",""
"dexAmmProtocol","DexAmmProtocol","null","0","sushiswap",""
"dexAmmProtocols","Unknown","null","0","sushiswap",""
"usageMetricsDailySnapshot","UsageMetricsDailySnapshot","null","0","sushiswap",""
"usageMetricsDailySnapshots","Unknown","null","0","sushiswap",""
"usageMetricsHourlySnapshot","UsageMetricsHourlySnapshot","null","0","sushiswap",""
"usageMetricsHourlySnapshots","Unknown","null","0","sushiswap",""
"financialsDailySnapshot","FinancialsDailySnapshot","null","0","sushiswap",""
"financialsDailySnapshots","Unknown","null","0","sushiswap",""
"liquidityPool","LiquidityPool","null","0","sushiswap",""
"liquidityPools","Unknown","null","0","sushiswap",""
"liquidityPoolDailySnapshot","LiquidityPoolDailySnapshot","null","0","sushiswap",""
"liquidityPoolDailySnapshots","Unknown","null","0","sushiswap",""
"liquidityPoolHourlySnapshot","LiquidityPoolHourlySnapshot","null","0","sushiswap",""
"liquidityPoolHourlySnapshots","Unknown","null","0","sushiswap",""
"tick","Tick","null","0","sushiswap",""
