Field Name,Type,Parent,Depth,API,Description
"balancerSnapshot","BalancerSnapshot","null","0","balancerPolygon",""
"balancerSnapshots","Unknown","null","0","balancerPolygon",""
"protocolIdData","ProtocolIdData","null","0","balancerPolygon",""
"protocolIdDatas","Unknown","null","0","balancerPolygon",""
"fxoracle","FXOracle","null","0","balancerPolygon",""
"fxoracles","Unknown","null","0","balancerPolygon",""
"_meta","_Meta_","null","0","balancerPolygon",""
"balancer","Balancer","null","0","balancerPolygon",""
"balancers","Unknown","null","0","balancerPolygon",""
"pool","Pool","null","0","balancerPolygon",""
"pools","Unknown","null","0","balancerPolygon",""
"poolContract","PoolContract","null","0","balancerPolygon",""
"poolContracts","Unknown","null","0","balancerPolygon",""
"poolToken","PoolToken","null","0","balancerPolygon",""
"poolTokens","Unknown","null","0","balancerPolygon",""
"priceRateProvider","PriceRateProvider","null","0","balancerPolygon",""
"priceRateProviders","Unknown","null","0","balancerPolygon",""
"circuitBreaker","CircuitBreaker","null","0","balancerPolygon",""
"circuitBreakers","Unknown","null","0","balancerPolygon",""
"poolShare","PoolShare","null","0","balancerPolygon",""
"poolShares","Unknown","null","0","balancerPolygon",""
"user","User","null","0","balancerPolygon",""
"users","Unknown","null","0","balancerPolygon",""
"userInternalBalance","UserInternalBalance","null","0","balancerPolygon",""
"userInternalBalances","Unknown","null","0","balancerPolygon",""
"gradualWeightUpdate","GradualWeightUpdate","null","0","balancerPolygon",""
"gradualWeightUpdates","Unknown","null","0","balancerPolygon",""
"ampUpdate","AmpUpdate","null","0","balancerPolygon",""
"ampUpdates","Unknown","null","0","balancerPolygon",""
"swapFeeUpdate","SwapFeeUpdate","null","0","balancerPolygon",""
"swapFeeUpdates","Unknown","null","0","balancerPolygon",""
"swap","Swap","null","0","balancerPolygon",""
"swaps","Unknown","null","0","balancerPolygon",""
"joinExit","JoinExit","null","0","balancerPolygon",""
"joinExits","Unknown","null","0","balancerPolygon",""
"latestPrice","LatestPrice","null","0","balancerPolygon",""
"latestPrices","Unknown","null","0","balancerPolygon",""
"poolHistoricalLiquidity","PoolHistoricalLiquidity","null","0","balancerPolygon",""
"poolHistoricalLiquidities","Unknown","null","0","balancerPolygon",""
"tokenPrice","TokenPrice","null","0","balancerPolygon",""
"tokenPrices","Unknown","null","0","balancerPolygon",""
"managementOperation","ManagementOperation","null","0","balancerPolygon",""
"managementOperations","Unknown","null","0","balancerPolygon",""
"poolSnapshot","PoolSnapshot","null","0","balancerPolygon",""
"poolSnapshots","Unknown","null","0","balancerPolygon",""
"token","Token","null","0","balancerPolygon",""
"tokens","Unknown","null","0","balancerPolygon",""
"tokenSnapshot","TokenSnapshot","null","0","balancerPolygon",""
"tokenSnapshots","Unknown","null","0","balancerPolygon",""
"tradePair","TradePair","null","0","balancerPolygon",""
"tradePairs","Unknown","null","0","balancerPolygon",""
"tradePairSnapshot","TradePairSnapshot","null","0","balancerPolygon",""
"tradePairSnapshots","Unknown","null","0","balancerPolygon",""
"balancerSnapshot","BalancerSnapshot","null","0","balancerPolygon",""
"balancerSnapshots","Unknown","null","0","balancerPolygon",""
"protocolIdData","ProtocolIdData","null","0","balancerPolygon",""
"protocolIdDatas","Unknown","null","0","balancerPolygon",""
"fxoracle","FXOracle","null","0","balancerPolygon",""
"fxoracles","Unknown","null","0","balancerPolygon",""
"_meta","_Meta_","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"caller","Bytes","null","0","balancerPolygon",""
"tokenIn","Bytes","null","0","balancerPolygon",""
"tokenInSym","String","null","0","balancerPolygon",""
"tokenOut","Bytes","null","0","balancerPolygon",""
"tokenOutSym","String","null","0","balancerPolygon",""
"tokenAmountIn","BigDecimal","null","0","balancerPolygon",""
"tokenAmountOut","BigDecimal","null","0","balancerPolygon",""
"valueUSD","BigDecimal","null","0","balancerPolygon",""
"poolId","Pool","null","0","balancerPolygon",""
"userAddress","User","null","0","balancerPolygon",""
"timestamp","Int","null","0","balancerPolygon",""
"block","BigInt","null","0","balancerPolygon",""
"tx","Bytes","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"pool","Pool","null","0","balancerPolygon",""
"scheduledTimestamp","Int","null","0","balancerPolygon",""
"startTimestamp","BigInt","null","0","balancerPolygon",""
"endTimestamp","BigInt","null","0","balancerPolygon",""
"startSwapFeePercentage","BigDecimal","null","0","balancerPolygon",""
"endSwapFeePercentage","BigDecimal","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"symbol","String","null","0","balancerPolygon",""
"name","String","null","0","balancerPolygon",""
"decimals","Int","null","0","balancerPolygon",""
"address","String","null","0","balancerPolygon",""
"totalBalanceUSD","BigDecimal","null","0","balancerPolygon",""
"totalBalanceNotional","BigDecimal","null","0","balancerPolygon",""
"totalVolumeUSD","BigDecimal","null","0","balancerPolygon",""
"totalVolumeNotional","BigDecimal","null","0","balancerPolygon",""
"totalSwapCount","BigInt","null","0","balancerPolygon",""
"latestPrice","LatestPrice","null","0","balancerPolygon",""
"latestUSDPrice","BigDecimal","null","0","balancerPolygon",""
"latestUSDPriceTimestamp","BigInt","null","0","balancerPolygon",""
"latestFXPrice","BigDecimal","null","0","balancerPolygon",""
"pool","Pool","null","0","balancerPolygon",""
"fxOracleDecimals","Int","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"poolId","Pool","null","0","balancerPolygon",""
"asset","Bytes","null","0","balancerPolygon",""
"amount","BigDecimal","null","0","balancerPolygon",""
"pricingAsset","Bytes","null","0","balancerPolygon",""
"price","BigDecimal","null","0","balancerPolygon",""
"block","BigInt","null","0","balancerPolygon",""
"timestamp","Int","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"token","Token","null","0","balancerPolygon",""
"timestamp","Int","null","0","balancerPolygon",""
"totalBalanceUSD","BigDecimal","null","0","balancerPolygon",""
"totalBalanceNotional","BigDecimal","null","0","balancerPolygon",""
"totalVolumeUSD","BigDecimal","null","0","balancerPolygon",""
"totalVolumeNotional","BigDecimal","null","0","balancerPolygon",""
"totalSwapCount","BigInt","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"token0","Token","null","0","balancerPolygon",""
"token1","Token","null","0","balancerPolygon",""
"totalSwapVolume","BigDecimal","null","0","balancerPolygon",""
"totalSwapFee","BigDecimal","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"pair","TradePair","null","0","balancerPolygon",""
"timestamp","Int","null","0","balancerPolygon",""
"totalSwapVolume","BigDecimal","null","0","balancerPolygon",""
"totalSwapFee","BigDecimal","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"sharesOwned","Unknown","null","0","balancerPolygon",""
"swaps","Unknown","null","0","balancerPolygon",""
"userInternalBalances","Unknown","null","0","balancerPolygon",""
"id","ID","null","0","balancerPolygon",""
"userAddress","User","null","0","balancerPolygon",""
"token","Bytes","null","0","balancerPolygon",""
"tokenInfo","Token","null","0","balancerPolygon",""
"balance","BigDecimal","null","0","balancerPolygon",""
"hash","Bytes","null","0","balancerPolygon",""
"number","Int","null","0","balancerPolygon",""
"timestamp","Int","null","0","balancerPolygon",""
"parentHash","Bytes","null","0","balancerPolygon",""
"block","_Block_","null","0","balancerPolygon",""
"deployment","String","null","0","balancerPolygon",""
"hasIndexingErrors","Boolean","null","0","balancerPolygon",""
