Field Name,Type,Parent,API
"tokenOut","Token","Swap","undefined"
"amountOut","BigInt","Swap","undefined"
"amountOutUSD","BigDecimal","Swap","undefined"
"pool","LiquidityPool","Swap","undefined"
"id","ID","Token","undefined"
"name","String","Token","undefined"
"symbol","String","Token","undefined"
"decimals","Int","Token","undefined"
"isBasePoolLpToken","Boolean","Token","undefined"
"lastPriceUSD","BigDecimal","Token","undefined"
"lastPriceBlockNumber","BigInt","Token","undefined"
"oracleType","String","Token","undefined"
"_totalSupply","BigInt","Token","undefined"
"_totalValueLockedUSD","BigDecimal","Token","undefined"
"_largePriceChangeBuffer","Int","Token","undefined"
"_largeTVLImpactBuffer","Int","Token","undefined"
"id","ID","UsageMetricsDailySnapshot","undefined"
"protocol","DexAmmProtocol","UsageMetricsDailySnapshot","undefined"
"dailyActiveUsers","Int","UsageMetricsDailySnapshot","undefined"
"cumulativeUniqueUsers","Int","UsageMetricsDailySnapshot","undefined"
"dailyTransactionCount","Int","UsageMetricsDailySnapshot","undefined"
"dailyDepositCount","Int","UsageMetricsDailySnapshot","undefined"
"dailyWithdrawCount","Int","UsageMetricsDailySnapshot","undefined"
"dailySwapCount","Int","UsageMetricsDailySnapshot","undefined"
"totalPoolCount","Int","UsageMetricsDailySnapshot","undefined"
"blockNumber","BigInt","UsageMetricsDailySnapshot","undefined"
"timestamp","BigInt","UsageMetricsDailySnapshot","undefined"
"id","ID","UsageMetricsHourlySnapshot","undefined"
"protocol","DexAmmProtocol","UsageMetricsHourlySnapshot","undefined"
"hourlyActiveUsers","Int","UsageMetricsHourlySnapshot","undefined"
"cumulativeUniqueUsers","Int","UsageMetricsHourlySnapshot","undefined"
"hourlyTransactionCount","Int","UsageMetricsHourlySnapshot","undefined"
"hourlyDepositCount","Int","UsageMetricsHourlySnapshot","undefined"
"hourlyWithdrawCount","Int","UsageMetricsHourlySnapshot","undefined"
"hourlySwapCount","Int","UsageMetricsHourlySnapshot","undefined"
"blockNumber","BigInt","UsageMetricsHourlySnapshot","undefined"
"timestamp","BigInt","UsageMetricsHourlySnapshot","undefined"
"id","ID","Withdraw","undefined"
"hash","String","Withdraw","undefined"
"logIndex","Int","Withdraw","undefined"
"protocol","DexAmmProtocol","Withdraw","undefined"
"to","String","Withdraw","undefined"
"from","String","Withdraw","undefined"
"blockNumber","BigInt","Withdraw","undefined"
"timestamp","BigInt","Withdraw","undefined"
"inputTokens","Unknown","Withdraw","undefined"
"outputToken","Token","Withdraw","undefined"
"inputTokenAmounts","Unknown","Withdraw","undefined"
"outputTokenAmount","BigInt","Withdraw","undefined"
"amountUSD","BigDecimal","Withdraw","undefined"
"pool","LiquidityPool","Withdraw","undefined"
"hash","Bytes","_Block_","undefined"
"number","Int","_Block_","undefined"
"timestamp","Int","_Block_","undefined"
"parentHash","Bytes","_Block_","undefined"
"id","ID","_CircularBuffer","undefined"
"blocks","Unknown","_CircularBuffer","undefined"
"windowStartIndex","Int","_CircularBuffer","undefined"
"nextIndex","Int","_CircularBuffer","undefined"
"bufferSize","Int","_CircularBuffer","undefined"
"blocksPerDay","BigDecimal","_CircularBuffer","undefined"
"id","ID","_LiquidityGauge","undefined"
"poolAddress","String","_LiquidityGauge","undefined"
"id","ID","_LpToken","undefined"
"poolAddress","String","_LpToken","undefined"
"registryAddress","String","_LpToken","undefined"
"block","_Block_","_Meta_","undefined"
"deployment","String","_Meta_","undefined"
"hasIndexingErrors","Boolean","_Meta_","undefined"
