Field Name,Type,Parent,API
"_meta","_Meta_","Subscription","balancerOptimism"
"id","ID","Swap","balancerOptimism"
"caller","Bytes","Swap","balancerOptimism"
"tokenIn","Bytes","Swap","balancerOptimism"
"tokenInSym","String","Swap","balancerOptimism"
"tokenOut","Bytes","Swap","balancerOptimism"
"tokenOutSym","String","Swap","balancerOptimism"
"tokenAmountIn","BigDecimal","Swap","balancerOptimism"
"tokenAmountOut","BigDecimal","Swap","balancerOptimism"
"valueUSD","BigDecimal","Swap","balancerOptimism"
"poolId","Pool","Swap","balancerOptimism"
"userAddress","User","Swap","balancerOptimism"
"timestamp","Int","Swap","balancerOptimism"
"block","BigInt","Swap","balancerOptimism"
"tx","Bytes","Swap","balancerOptimism"
"id","ID","SwapFeeUpdate","balancerOptimism"
"pool","Pool","SwapFeeUpdate","balancerOptimism"
"scheduledTimestamp","Int","SwapFeeUpdate","balancerOptimism"
"startTimestamp","BigInt","SwapFeeUpdate","balancerOptimism"
"endTimestamp","BigInt","SwapFeeUpdate","balancerOptimism"
"startSwapFeePercentage","BigDecimal","SwapFeeUpdate","balancerOptimism"
"endSwapFeePercentage","BigDecimal","SwapFeeUpdate","balancerOptimism"
"id","ID","Token","balancerOptimism"
"symbol","String","Token","balancerOptimism"
"name","String","Token","balancerOptimism"
"decimals","Int","Token","balancerOptimism"
"address","String","Token","balancerOptimism"
"totalBalanceUSD","BigDecimal","Token","balancerOptimism"
"totalBalanceNotional","BigDecimal","Token","balancerOptimism"
"totalVolumeUSD","BigDecimal","Token","balancerOptimism"
"totalVolumeNotional","BigDecimal","Token","balancerOptimism"
"totalSwapCount","BigInt","Token","balancerOptimism"
"latestPrice","LatestPrice","Token","balancerOptimism"
"latestUSDPrice","BigDecimal","Token","balancerOptimism"
"latestUSDPriceTimestamp","BigInt","Token","balancerOptimism"
"latestFXPrice","BigDecimal","Token","balancerOptimism"
"pool","Pool","Token","balancerOptimism"
"fxOracleDecimals","Int","Token","balancerOptimism"
"id","ID","TokenPrice","balancerOptimism"
"poolId","Pool","TokenPrice","balancerOptimism"
"asset","Bytes","TokenPrice","balancerOptimism"
"amount","BigDecimal","TokenPrice","balancerOptimism"
"pricingAsset","Bytes","TokenPrice","balancerOptimism"
"price","BigDecimal","TokenPrice","balancerOptimism"
"block","BigInt","TokenPrice","balancerOptimism"
"timestamp","Int","TokenPrice","balancerOptimism"
"id","ID","TokenSnapshot","balancerOptimism"
"token","Token","TokenSnapshot","balancerOptimism"
"timestamp","Int","TokenSnapshot","balancerOptimism"
"totalBalanceUSD","BigDecimal","TokenSnapshot","balancerOptimism"
"totalBalanceNotional","BigDecimal","TokenSnapshot","balancerOptimism"
"totalVolumeUSD","BigDecimal","TokenSnapshot","balancerOptimism"
