Field Name,Type,Parent,API
"account","Account","Query","curveEthereum"
"accounts","Unknown","Query","curveEthereum"
"activeAccount","ActiveAccount","Query","curveEthereum"
"activeAccounts","Unknown","Query","curveEthereum"
"liquidityGauge","_LiquidityGauge","Query","curveEthereum"
"liquidityGauges","Unknown","Query","curveEthereum"
"lpToken","_LpToken","Query","curveEthereum"
"lpTokens","Unknown","Query","curveEthereum"
"circularBuffer","_CircularBuffer","Query","curveEthereum"
"circularBuffers","Unknown","Query","curveEthereum"
"protocol","Protocol","Query","curveEthereum"
"protocols","Unknown","Query","curveEthereum"
"event","Event","Query","curveEthereum"
"events","Unknown","Query","curveEthereum"
"_meta","_Meta_","Query","curveEthereum"
"id","ID","RewardToken","curveEthereum"
"token","Token","RewardToken","curveEthereum"
"type","RewardTokenType","RewardToken","curveEthereum"
"token","Token","Subscription","curveEthereum"
"tokens","Unknown","Subscription","curveEthereum"
"rewardToken","RewardToken","Subscription","curveEthereum"
"rewardTokens","Unknown","Subscription","curveEthereum"
"liquidityPoolFee","LiquidityPoolFee","Subscription","curveEthereum"
"liquidityPoolFees","Unknown","Subscription","curveEthereum"
"dexAmmProtocol","DexAmmProtocol","Subscription","curveEthereum"
"dexAmmProtocols","Unknown","Subscription","curveEthereum"
"usageMetricsDailySnapshot","UsageMetricsDailySnapshot","Subscription","curveEthereum"
"usageMetricsDailySnapshots","Unknown","Subscription","curveEthereum"
"usageMetricsHourlySnapshot","UsageMetricsHourlySnapshot","Subscription","curveEthereum"
"usageMetricsHourlySnapshots","Unknown","Subscription","curveEthereum"
"financialsDailySnapshot","FinancialsDailySnapshot","Subscription","curveEthereum"
"financialsDailySnapshots","Unknown","Subscription","curveEthereum"
"liquidityPool","LiquidityPool","Subscription","curveEthereum"
"liquidityPools","Unknown","Subscription","curveEthereum"
"liquidityPoolDailySnapshot","LiquidityPoolDailySnapshot","Subscription","curveEthereum"
"liquidityPoolDailySnapshots","Unknown","Subscription","curveEthereum"
"liquidityPoolHourlySnapshot","LiquidityPoolHourlySnapshot","Subscription","curveEthereum"
"liquidityPoolHourlySnapshots","Unknown","Subscription","curveEthereum"
"deposit","Deposit","Subscription","curveEthereum"
"deposits","Unknown","Subscription","curveEthereum"
"withdraw","Withdraw","Subscription","curveEthereum"
"withdraws","Unknown","Subscription","curveEthereum"
"swap","Swap","Subscription","curveEthereum"
"swaps","Unknown","Subscription","curveEthereum"
"account","Account","Subscription","curveEthereum"
"accounts","Unknown","Subscription","curveEthereum"
"activeAccount","ActiveAccount","Subscription","curveEthereum"
"activeAccounts","Unknown","Subscription","curveEthereum"
"liquidityGauge","_LiquidityGauge","Subscription","curveEthereum"
"liquidityGauges","Unknown","Subscription","curveEthereum"
"lpToken","_LpToken","Subscription","curveEthereum"
"lpTokens","Unknown","Subscription","curveEthereum"
"circularBuffer","_CircularBuffer","Subscription","curveEthereum"
"circularBuffers","Unknown","Subscription","curveEthereum"
"protocol","Protocol","Subscription","curveEthereum"
"protocols","Unknown","Subscription","curveEthereum"
"event","Event","Subscription","curveEthereum"
"events","Unknown","Subscription","curveEthereum"
"_meta","_Meta_","Subscription","curveEthereum"
"id","ID","Swap","curveEthereum"
"hash","String","Swap","curveEthereum"
