Field Name,Type,Parent,Depth,API,Description
"network","Network","null","0","curveAvalanche",""
"type","ProtocolType","null","0","curveAvalanche",""
"totalValueLockedUSD","BigDecimal","null","0","curveAvalanche",""
"protocolControlledValueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeSupplySideRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeProtocolSideRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeTotalRevenueUSD","BigDecimal","null","0","curveAvalanche",""
"cumulativeUniqueUsers","Int","null","0","curveAvalanche",""
"totalPoolCount","Int","null","0","curveAvalanche",""
"dailyUsageMetrics","Unknown","null","0","curveAvalanche",""
"hourlyUsageMetrics","Unknown","null","0","curveAvalanche",""
"financialMetrics","Unknown","null","0","curveAvalanche",""
"token","Token","null","0","curveAvalanche",""
"tokens","Unknown","null","0","curveAvalanche",""
"rewardToken","RewardToken","null","0","curveAvalanche",""
"rewardTokens","Unknown","null","0","curveAvalanche",""
"liquidityPoolFee","LiquidityPoolFee","null","0","curveAvalanche",""
"liquidityPoolFees","Unknown","null","0","curveAvalanche",""
"dexAmmProtocol","DexAmmProtocol","null","0","curveAvalanche",""
"dexAmmProtocols","Unknown","null","0","curveAvalanche",""
"usageMetricsDailySnapshot","UsageMetricsDailySnapshot","null","0","curveAvalanche",""
"usageMetricsDailySnapshots","Unknown","null","0","curveAvalanche",""
"usageMetricsHourlySnapshot","UsageMetricsHourlySnapshot","null","0","curveAvalanche",""
"usageMetricsHourlySnapshots","Unknown","null","0","curveAvalanche",""
"financialsDailySnapshot","FinancialsDailySnapshot","null","0","curveAvalanche",""
"financialsDailySnapshots","Unknown","null","0","curveAvalanche",""
"liquidityPool","LiquidityPool","null","0","curveAvalanche",""
"liquidityPools","Unknown","null","0","curveAvalanche",""
"liquidityPoolDailySnapshot","LiquidityPoolDailySnapshot","null","0","curveAvalanche",""
"liquidityPoolDailySnapshots","Unknown","null","0","curveAvalanche",""
"liquidityPoolHourlySnapshot","LiquidityPoolHourlySnapshot","null","0","curveAvalanche",""
"liquidityPoolHourlySnapshots","Unknown","null","0","curveAvalanche",""
"deposit","Deposit","null","0","curveAvalanche",""
"deposits","Unknown","null","0","curveAvalanche",""
"withdraw","Withdraw","null","0","curveAvalanche",""
"withdraws","Unknown","null","0","curveAvalanche",""
"swap","Swap","null","0","curveAvalanche",""
"swaps","Unknown","null","0","curveAvalanche",""
"account","Account","null","0","curveAvalanche",""
"accounts","Unknown","null","0","curveAvalanche",""
"activeAccount","ActiveAccount","null","0","curveAvalanche",""
"activeAccounts","Unknown","null","0","curveAvalanche",""
"liquidityGauge","_LiquidityGauge","null","0","curveAvalanche",""
"liquidityGauges","Unknown","null","0","curveAvalanche",""
"lpToken","_LpToken","null","0","curveAvalanche",""
"lpTokens","Unknown","null","0","curveAvalanche",""
"circularBuffer","_CircularBuffer","null","0","curveAvalanche",""
"circularBuffers","Unknown","null","0","curveAvalanche",""
"protocol","Protocol","null","0","curveAvalanche",""
"protocols","Unknown","null","0","curveAvalanche",""
"event","Event","null","0","curveAvalanche",""
"events","Unknown","null","0","curveAvalanche",""
"_meta","_Meta_","null","0","curveAvalanche",""
"id","ID","null","0","curveAvalanche",""
"token","Token","null","0","curveAvalanche",""
"type","RewardTokenType","null","0","curveAvalanche",""
"token","Token","null","0","curveAvalanche",""
"tokens","Unknown","null","0","curveAvalanche",""
"rewardToken","RewardToken","null","0","curveAvalanche",""
"rewardTokens","Unknown","null","0","curveAvalanche",""
"liquidityPoolFee","LiquidityPoolFee","null","0","curveAvalanche",""
"liquidityPoolFees","Unknown","null","0","curveAvalanche",""
"dexAmmProtocol","DexAmmProtocol","null","0","curveAvalanche",""
"dexAmmProtocols","Unknown","null","0","curveAvalanche",""
"usageMetricsDailySnapshot","UsageMetricsDailySnapshot","null","0","curveAvalanche",""
"usageMetricsDailySnapshots","Unknown","null","0","curveAvalanche",""
"usageMetricsHourlySnapshot","UsageMetricsHourlySnapshot","null","0","curveAvalanche",""
"usageMetricsHourlySnapshots","Unknown","null","0","curveAvalanche",""
"financialsDailySnapshot","FinancialsDailySnapshot","null","0","curveAvalanche",""
"financialsDailySnapshots","Unknown","null","0","curveAvalanche",""
"liquidityPool","LiquidityPool","null","0","curveAvalanche",""
"liquidityPools","Unknown","null","0","curveAvalanche",""
"liquidityPoolDailySnapshot","LiquidityPoolDailySnapshot","null","0","curveAvalanche",""
"liquidityPoolDailySnapshots","Unknown","null","0","curveAvalanche",""
"liquidityPoolHourlySnapshot","LiquidityPoolHourlySnapshot","null","0","curveAvalanche",""
"liquidityPoolHourlySnapshots","Unknown","null","0","curveAvalanche",""
"deposit","Deposit","null","0","curveAvalanche",""
"deposits","Unknown","null","0","curveAvalanche",""
"withdraw","Withdraw","null","0","curveAvalanche",""
"withdraws","Unknown","null","0","curveAvalanche",""
"swap","Swap","null","0","curveAvalanche",""
"swaps","Unknown","null","0","curveAvalanche",""
"account","Account","null","0","curveAvalanche",""
"accounts","Unknown","null","0","curveAvalanche",""
"activeAccount","ActiveAccount","null","0","curveAvalanche",""
"activeAccounts","Unknown","null","0","curveAvalanche",""
"liquidityGauge","_LiquidityGauge","null","0","curveAvalanche",""
"liquidityGauges","Unknown","null","0","curveAvalanche",""
"lpToken","_LpToken","null","0","curveAvalanche",""
"lpTokens","Unknown","null","0","curveAvalanche",""
"circularBuffer","_CircularBuffer","null","0","curveAvalanche",""
"circularBuffers","Unknown","null","0","curveAvalanche",""
"protocol","Protocol","null","0","curveAvalanche",""
"protocols","Unknown","null","0","curveAvalanche",""
"event","Event","null","0","curveAvalanche",""
"events","Unknown","null","0","curveAvalanche",""
"_meta","_Meta_","null","0","curveAvalanche",""
"id","ID","null","0","curveAvalanche",""
"hash","String","null","0","curveAvalanche",""
"logIndex","Int","null","0","curveAvalanche",""
"protocol","DexAmmProtocol","null","0","curveAvalanche",""
