Field Name,Type,Parent,API
"totalVolumeUSD","BigDecimal","TokenSnapshot","balancerArbitrum"
"totalVolumeNotional","BigDecimal","TokenSnapshot","balancerArbitrum"
"totalSwapCount","BigInt","TokenSnapshot","balancerArbitrum"
"id","ID","TradePair","balancerArbitrum"
"token0","Token","TradePair","balancerArbitrum"
"token1","Token","TradePair","balancerArbitrum"
"totalSwapVolume","BigDecimal","TradePair","balancerArbitrum"
"totalSwapFee","BigDecimal","TradePair","balancerArbitrum"
"id","ID","TradePairSnapshot","balancerArbitrum"
"pair","TradePair","TradePairSnapshot","balancerArbitrum"
"timestamp","Int","TradePairSnapshot","balancerArbitrum"
"totalSwapVolume","BigDecimal","TradePairSnapshot","balancerArbitrum"
"totalSwapFee","BigDecimal","TradePairSnapshot","balancerArbitrum"
"id","ID","User","balancerArbitrum"
"sharesOwned","Unknown","User","balancerArbitrum"
"swaps","Unknown","User","balancerArbitrum"
"userInternalBalances","Unknown","User","balancerArbitrum"
"id","ID","UserInternalBalance","balancerArbitrum"
"userAddress","User","UserInternalBalance","balancerArbitrum"
"token","Bytes","UserInternalBalance","balancerArbitrum"
"tokenInfo","Token","UserInternalBalance","balancerArbitrum"
"balance","BigDecimal","UserInternalBalance","balancerArbitrum"
"hash","Bytes","_Block_","balancerArbitrum"
"number","Int","_Block_","balancerArbitrum"
"timestamp","Int","_Block_","balancerArbitrum"
"parentHash","Bytes","_Block_","balancerArbitrum"
"block","_Block_","_Meta_","balancerArbitrum"
"deployment","String","_Meta_","balancerArbitrum"
"hasIndexingErrors","Boolean","_Meta_","balancerArbitrum"
