timestamp,chain,pair,buy_venue,sell_venue,buy_price,sell_price,spread_bps,fee_bps,gross_edge_bps,net_edge_bps,trade_size_usd,gross_profit_usd,net_profit_usd,aave_fee_usd,gas_usd,decision,would_revert,mode
2026-02-21 09:08:08,arbitrum,ETH/USDT,curve,uniswap_v3,1966.576293,1969.16985,13.1882,10,3.1882,-2.01,1000.0,1.3188,-0.2012,0.5,0.02,SKIP,True,SHADOW
2026-02-21 09:09:08,arbitrum,ETH/USDT,curve,uniswap_v3,1966.576293,1969.166065,13.1689,10,3.1689,-2.03,1000.0,1.3169,-0.2031,0.5,0.02,SKIP,True,SHADOW
2026-02-21 09:17:08,arbitrum,ETH/USDT,curve,uniswap_v3,1967.966674,1970.501986,12.8829,10,2.8829,-2.32,1000.0,1.2883,-0.2317,0.5,0.02,SKIP,True,SHADOW
2026-02-21 09:18:08,arbitrum,ETH/USDT,curve,uniswap_v3,1968.163618,1971.819862,18.5769,10,8.5769,3.38,1000.0,1.8577,0.3377,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:19:08,arbitrum,ETH/USDT,curve,uniswap_v3,1968.163618,1971.819862,18.5769,10,8.5769,3.38,1000.0,1.8577,0.3377,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:20:08,arbitrum,ETH/USDT,curve,uniswap_v3,1968.163618,1971.819862,18.5769,10,8.5769,3.38,1000.0,1.8577,0.3377,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:21:08,arbitrum,ETH/USDT,curve,uniswap_v3,1968.163618,1971.819862,18.5769,10,8.5769,3.38,1000.0,1.8577,0.3377,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:22:08,arbitrum,ETH/USDT,curve,uniswap_v3,1969.238811,1976.702284,37.9003,10,27.9003,22.7,1000.0,3.79,2.27,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:23:08,arbitrum,ETH/USDT,curve,uniswap_v3,1969.238811,1975.303484,30.797,10,20.797,15.6,1000.0,3.0797,1.5597,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:24:08,arbitrum,ETH/USDT,curve,uniswap_v3,1969.238811,1975.303484,30.797,10,20.797,15.6,1000.0,3.0797,1.5597,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:25:09,arbitrum,ETH/USDT,curve,uniswap_v3,1969.238811,1975.105887,29.7936,10,19.7936,14.59,1000.0,2.9794,1.4594,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:26:09,arbitrum,ETH/USDT,curve,uniswap_v3,1969.238811,1976.121985,34.9535,10,24.9535,19.75,1000.0,3.4953,1.9753,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:27:09,arbitrum,ETH/USDT,curve,uniswap_v3,1971.264449,1976.121985,24.6417,10,14.6417,9.44,1000.0,2.4642,0.9442,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:28:09,arbitrum,ETH/USDT,curve,uniswap_v3,1971.264449,1976.121985,24.6417,10,14.6417,9.44,1000.0,2.4642,0.9442,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:29:09,arbitrum,ETH/USDT,curve,uniswap_v3,1971.264449,1976.121985,24.6417,10,14.6417,9.44,1000.0,2.4642,0.9442,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:30:09,arbitrum,ETH/USDT,curve,uniswap_v3,1971.264449,1976.096034,24.5101,10,14.5101,9.31,1000.0,2.451,0.931,0.5,0.02,EXECUTE,False,SHADOW
2026-02-21 09:34:09,arbitrum,ETH/USDT,curve,uniswap_v3,1971.264449,1975.982616,23.9347,10,13.9347,8.73,1000.0,2.3935,0.8735,0.5,0.02,EXECUTE,False,SHADOW
2026-02-22 00:59:44,arbitrum,ETH/USDT,curve,uniswap_v3,1970.159472,1972.164718,10.1781,10,0.1781,-5.02,1000.0,1.0178,-0.5022,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:02:44,arbitrum,ETH/USDT,curve,uniswap_v3,1970.313004,1972.646088,11.8412,10,1.8412,-3.36,1000.0,1.1841,-0.3359,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:03:44,arbitrum,ETH/USDT,curve,uniswap_v3,1970.699801,1975.057454,22.1122,10,12.1122,6.91,1000.0,2.2112,0.6912,0.5,0.02,EXECUTE,False,SHADOW
2026-02-22 01:04:46,arbitrum,ETH/USDT,curve,uniswap_v3,1970.699801,1974.858288,21.1016,10,11.1016,5.9,1000.0,2.1102,0.5902,0.5,0.02,EXECUTE,False,SHADOW
2026-02-22 01:05:48,arbitrum,ETH/USDT,curve,uniswap_v3,1970.699801,1974.858288,21.1016,10,11.1016,5.9,1000.0,2.1102,0.5902,0.5,0.02,EXECUTE,False,SHADOW
2026-02-22 01:06:50,arbitrum,ETH/USDT,curve,uniswap_v3,1970.699801,1975.4229,23.9666,10,13.9666,8.77,1000.0,2.3967,0.8767,0.5,0.02,EXECUTE,False,SHADOW
2026-02-22 01:07:51,arbitrum,ETH/USDT,curve,uniswap_v3,1971.404822,1975.4229,20.3818,10,10.3818,5.18,1000.0,2.0382,0.5182,0.5,0.02,EXECUTE,False,SHADOW
2026-02-22 01:08:52,arbitrum,ETH/USDT,curve,uniswap_v3,1971.640021,1975.239751,18.2575,10,8.2575,3.06,1000.0,1.8258,0.3058,0.5,0.02,EXECUTE,False,SHADOW
2026-02-22 01:09:54,arbitrum,ETH/USDT,curve,uniswap_v3,1971.640021,1975.239751,18.2575,10,8.2575,3.06,1000.0,1.8258,0.3058,0.5,0.02,EXECUTE,False,SHADOW
2026-02-22 01:10:56,arbitrum,ETH/USDT,curve,uniswap_v3,1971.640021,1975.138909,17.7461,10,7.7461,2.55,1000.0,1.7746,0.2546,0.5,0.02,EXECUTE,False,SHADOW
2026-02-22 01:11:58,arbitrum,ETH/USDT,curve,uniswap_v3,1971.640021,1974.356775,13.7792,10,3.7792,-1.42,1000.0,1.3779,-0.1421,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:12:58,arbitrum,ETH/USDT,curve,uniswap_v3,1971.640021,1974.356775,13.7792,10,3.7792,-1.42,1000.0,1.3779,-0.1421,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:13:58,arbitrum,ETH/USDT,curve,uniswap_v3,1971.640021,1974.356775,13.7792,10,3.7792,-1.42,1000.0,1.3779,-0.1421,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:14:58,arbitrum,ETH/USDT,curve,uniswap_v3,1971.640021,1974.356775,13.7792,10,3.7792,-1.42,1000.0,1.3779,-0.1421,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:15:58,arbitrum,ETH/USDT,curve,uniswap_v3,1971.640021,1974.356775,13.7792,10,3.7792,-1.42,1000.0,1.3779,-0.1421,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:18:58,arbitrum,ETH/USDT,curve,uniswap_v3,1973.541625,1977.459362,19.8513,10,9.8513,4.65,1000.0,1.9851,0.4651,0.5,0.02,EXECUTE,False,SHADOW
2026-02-22 01:20:00,arbitrum,ETH/USDT,curve,uniswap_v3,1973.541625,1977.199012,18.5321,10,8.5321,3.33,1000.0,1.8532,0.3332,0.5,0.02,EXECUTE,False,SHADOW
2026-02-22 01:24:01,arbitrum,ETH/USDT,curve,uniswap_v3,1974.409015,1976.811021,12.1657,10,2.1657,-3.03,1000.0,1.2166,-0.3034,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:25:01,arbitrum,ETH/USDT,curve,uniswap_v3,1974.409015,1976.811021,12.1657,10,2.1657,-3.03,1000.0,1.2166,-0.3034,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:26:01,arbitrum,ETH/USDT,curve,uniswap_v3,1974.668447,1976.927815,11.4418,10,1.4418,-3.76,1000.0,1.1442,-0.3758,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:32:01,arbitrum,ETH/USDT,curve,uniswap_v3,1975.718032,1978.330843,13.2246,10,3.2246,-1.98,1000.0,1.3225,-0.1975,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:33:01,arbitrum,ETH/USDT,curve,uniswap_v3,1975.898808,1978.683758,14.0946,10,4.0946,-1.11,1000.0,1.4095,-0.1105,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:34:01,arbitrum,ETH/USDT,curve,uniswap_v3,1975.898808,1978.683758,14.0946,10,4.0946,-1.11,1000.0,1.4095,-0.1105,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:35:01,arbitrum,ETH/USDT,curve,uniswap_v3,1975.898808,1978.683758,14.0946,10,4.0946,-1.11,1000.0,1.4095,-0.1105,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:51:01,arbitrum,ETH/USDT,curve,uniswap_v3,1976.819354,1978.925179,10.6526,10,0.6526,-4.55,1000.0,1.0653,-0.4547,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:52:01,arbitrum,ETH/USDT,curve,uniswap_v3,1976.819354,1978.925179,10.6526,10,0.6526,-4.55,1000.0,1.0653,-0.4547,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:53:01,arbitrum,ETH/USDT,curve,uniswap_v3,1976.819354,1978.925179,10.6526,10,0.6526,-4.55,1000.0,1.0653,-0.4547,0.5,0.02,SKIP,True,SHADOW
2026-02-22 01:54:01,arbitrum,ETH/USDT,curve,uniswap_v3,1976.819354,1978.925179,10.6526,10,0.6526,-4.55,1000.0,1.0653,-0.4547,0.5,0.02,SKIP,True,SHADOW
2026-02-22 02:05:01,arbitrum,ETH/USDT,curve,uniswap_v3,1977.322708,1979.880493,12.9356,10,2.9356,-2.26,1000.0,1.2936,-0.2264,0.5,0.02,SKIP,True,SHADOW
2026-02-22 02:10:01,arbitrum,ETH/USDT,curve,uniswap_v3,1977.911432,1982.103616,21.195,10,11.195,6.0,1000.0,2.1195,0.5995,0.5,0.02,EXECUTE,False,SHADOW
